lon,lat,mp_measurement,date,S1_image_found,S1_image_date,VV_backscatter,VH_backscatter,VV_VH_ratio,backscatter_diff,backscatter_sum,chlorophyll_a,SST_celsius,month_sin,month_cos,season,abs_lat,lat_zone,VV_SST_interaction,VH_SST_interaction,sst_squared,roughness_proxy,cross_pol_ratio,roughness_SST
113.547093,21.992949,0.719,09/08/2018,True,10/08/2018,-19.89807346,-27.94302406,0.71209449,8.044950594,-47.84109752,16.479084500000003,32.51472325,-0.866025404,-0.5,3.0,21.992949,1.0,-646.9803519,-908.559694,1057.207228,8.044950594,1.404308015,261.5793421
113.124607,21.819221,0.667,10/08/2018,True,10/08/2018,-16.93256746,-33.62416458,0.503583291,16.69159711,-50.55673204,12.7245001,32.38212659,-0.866025404,-0.5,3.0,21.819221,1.0,-548.312543,-1088.821954,1048.602122,16.69159711,1.985768824,540.5094106
113.371497,21.658662,0.565,10/08/2018,True,10/08/2018,-17.94609047,-47.54534344,0.377452116,29.59925297,-65.49143391,2.31603681,31.54346976,-0.866025404,-0.5,3.0,21.658662,1.0,-566.0819622,-1499.745103,994.9904846,29.59925297,2.649342681,933.663141
113.051454,21.592686,0.539,11/08/2018,True,10/08/2018,-16.84852887,-26.7694,0.629395088,9.920871129,-43.61792888,3.6174239,30.95999908,-0.866025404,-0.5,3.0,21.592686,1.0,-521.6304385,-828.7805996,958.5215433,9.920871129,1.588827143,307.1501611
9.977433,43.015317,0.045836225,09/06/2019,True,06/06/2019,-19.4248702,-25.55004983,0.76026741,6.125179632,-44.97492003,0.1384093922222222,19.76559664,1.22e-16,-1.0,3.0,43.015317,2.0,-383.9441491,-505.0119791,390.6788105,6.125179632,1.31532667,121.0678299
-76.75783,17.946,0.00573,16/11/2017,True,14/11/2017,-20.11642384,-44.72774487,0.449752696,24.61132103,-64.84416871,0.3695050166666666,28.30382976,-0.5,0.866025404,4.0,17.946,1.0,-569.3718358,-1265.966476,801.1067792,24.61132103,2.223444148,696.5946406
-154.478,20.21,0.005476374,15/01/2019,True,12/01/2019,-16.25478885,-37.06332342,0.438568033,20.80853457,-53.31811227,0.0579521805,24.10286326,0.5,0.866025404,1.0,20.21,1.0,-391.786953,-893.3322162,580.9480172,20.80853457,2.280147946,501.5452632
-154.475,20.2219,0.005179643,15/01/2019,True,12/01/2019,-13.4606603,-27.04020252,0.497801756,13.57954223,-40.50086282,0.0581157087777777,24.07779828,0.5,0.866025404,1.0,20.2219,1.0,-324.1030633,-651.0685417,579.7403699,13.57954223,2.008831805,326.9654784
9.15755,44.288733,0.003410525,14/06/2019,True,11/06/2019,-23.19093611,-45.08091635,0.51442912,21.88998025,-68.27185246,0.1807876,22.20535627,1.22e-16,-1.0,3.0,44.288733,2.0,-514.9629985,-1001.037809,493.0778471,21.88998025,1.9439024,486.0748101
23.241,37.731,0.00308,11/11/2015,True,12/11/2015,-23.51692447,-29.36902907,0.800738915,5.852104595,-52.88595354,0.3434137066666667,22.82011829,-0.5,0.866025404,4.0,37.731,2.0,-536.6589983,-670.2047174,520.7577988,5.852104595,1.248846511,133.5457191
20.032,39.651,0.003036667,25/04/2015,True,27/04/2015,-18.89448497,-24.87602762,0.759545908,5.981542644,-43.77051259,0.2871623883333333,16.83682924,0.866025404,-0.5,2.0,39.651,2.0,-318.123217,-418.8334291,283.4788188,5.981542644,1.316576115,100.7102121
-76.83425,17.948306,0.00301,14/09/2017,True,15/09/2017,-17.78612761,-29.24850771,0.608103763,11.4623801,-47.03463531,0.74805259,31.40399914,-1.0,-1.84e-16,4.0,17.948306,1.0,-558.5555361,-918.5201108,986.2111619,11.4623801,1.644456194,359.9645747
28.285833,43.328333,0.002543575,09/08/2017,True,06/08/2017,-20.47682951,-47.65048895,0.429729683,27.17365945,-68.12731846,1.2432411293333334,26.86576303,-0.866025404,-0.5,3.0,43.328333,2.0,-550.1256491,-1280.166744,721.7692232,27.17365945,2.327044279,730.0410954
25.227,36.12,0.0025,19/03/2019,True,20/03/2019,-25.25553994,-47.01532504,0.537176759,21.7597851,-72.27086498,0.16318192,16.71820479,1.0,6.12e-17,2.0,36.12,2.0,-422.2272889,-786.0118323,279.4983714,21.7597851,1.861584632,363.7845435
-76.82694,17.94878,0.00207,16/11/2017,True,14/11/2017,-19.56369507,-21.75106232,0.899436302,2.187367253,-41.3147574,0.5644297933333333,28.29500008,-0.5,0.866025404,4.0,17.94878,1.0,-553.5547535,-615.4463101,800.6070293,2.187367253,1.11180747,61.89155659
2.78,41.616667,0.001986,05/06/2015,True,05/06/2015,-19.58192531,-26.24103106,0.746233075,6.659105749,-45.82295637,0.32764434,19.65871705,1.22e-16,-1.0,3.0,41.616667,2.0,-384.9555289,-515.8650045,386.4651559,6.659105749,1.340063893,130.9094757
18.527778,40.225278,0.001921671,28/06/2021,True,28/06/2021,-16.8019093,-27.05781534,0.620963263,10.25590604,-43.85972464,0.1698061424999999,26.96749873,1.22e-16,-1.0,3.0,40.225278,2.0,-453.1054676,-729.6816007,727.2459877,10.25590604,1.610401226,276.5761331
-154.4888,20.2149,0.001885194,15/01/2019,True,12/01/2019,-12.25625638,-33.83951779,0.362187678,21.58326141,-46.09577417,0.0579521805,24.20310699,0.5,0.866025404,1.0,20.2149,1.0,-296.6394844,-819.0214694,585.7903878,21.58326141,2.760999504,522.381985
19.823,39.263,0.00167,26/04/2015,True,27/04/2015,-14.34824549,-21.69661442,0.661312646,7.348368928,-36.04485991,0.1647692455555555,17.35795346,0.866025404,-0.5,2.0,39.263,2.0,-249.0561774,-376.6088232,301.2985483,7.348368928,1.512144076,127.5526459
10.177333,43.355417,0.00158825,10/06/2019,True,11/06/2019,-26.42234576,-31.7929644,0.831075248,5.370618637,-58.21531017,0.1715784277777777,19.14208282,1.22e-16,-1.0,3.0,43.355417,2.0,-505.7787308,-608.5835575,366.4193345,5.370618637,1.203260478,102.8048267
-76.84275,17.932222,0.00158,14/09/2017,True,15/09/2017,-24.61411841,-33.27883587,0.739632796,8.66471746,-57.89295429,0.92508467,31.54170545,-1.0,-1.84e-16,4.0,17.932222,1.0,-776.371273,-1049.671239,994.8791828,8.66471746,1.352022255,273.2999659
25.407,37.148,0.001557143,28/07/2017,True,29/07/2017,-47.82064851,-32.23729825,1.483395046,-15.58335026,-80.05794675,0.1327697733333333,21.89239957,-0.5,-0.866025404,3.0,37.148,2.0,-1046.908745,-705.7518141,479.2771588,-15.58335026,0.674129257,-341.1569306
2.86953,36.78695,0.001499804,28/01/2018,True,26/01/2018,-15.1637969,-31.45965166,0.482007781,16.29585476,-46.62344856,1.03143148,15.79999924,0.5,0.866025404,1.0,36.78695,2.0,-239.5879794,-497.0624723,249.6399759,16.29585476,2.074655304,257.4744928
-76.754944,17.946306,0.00148,14/09/2017,True,15/09/2017,-24.38257551,-30.14746842,0.808776882,5.764892917,-54.53004393,0.38181975875,29.9958867,-1.0,-1.84e-16,4.0,17.946306,1.0,-731.3769723,-904.300047,899.7532186,5.764892917,1.236434946,172.9230747
2.80062,36.760775,0.001473792,28/04/2018,True,26/04/2018,-20.48079963,-47.88088285,0.42774482,27.40008322,-68.36168248,0.517435296,17.2708392,0.866025404,-0.5,2.0,36.760775,2.0,-353.7205972,-826.9430287,298.2818868,27.40008322,2.337842453,473.2224315
2.795861,36.728415,0.001441786,28/04/2018,True,26/04/2018,-20.61282235,-41.16667028,0.500716288,20.55384793,-61.77949262,0.5813463975000001,17.45418719,0.866025404,-0.5,2.0,36.728415,2.0,-359.7800598,-718.5307691,304.6486505,20.55384793,1.997138945,358.7507093
2.86953,36.78695,0.001440699,29/11/2018,True,28/11/2018,-16.03544296,-32.67363129,0.490776272,16.63818833,-48.70907425,0.6401260125,17.60184161,-0.5,0.866025404,4.0,36.78695,2.0,-282.2533271,-575.1160827,309.8248279,16.63818833,2.037588321,292.8627556
-76.82269,17.94886,0.00134,16/11/2017,True,14/11/2017,-20.24710024,-34.34558822,0.589510947,14.09848798,-54.59268846,0.5644297933333333,28.29500008,-0.5,0.866025404,4.0,17.94886,1.0,-572.8917029,-971.8084214,800.6070293,14.09848798,1.696321341,398.9167186
-76.81875,17.951639,0.00134,14/09/2017,True,15/09/2017,-20.09425519,-30.71396361,0.654238425,10.61970842,-50.8082188,0.7385103000000001,30.0,-1.0,-1.84e-16,4.0,17.951639,1.0,-602.8276557,-921.4189083,900.0,10.61970842,1.528494752,318.5912526
2.86953,36.78695,0.001263382,26/06/2018,True,25/06/2018,-32.38225587,-27.27877214,1.18708627,-5.103483732,-59.66102801,0.226562373,20.54781359,1.22e-16,-1.0,3.0,36.78695,2.0,-665.3845573,-560.5191249,422.2126435,-5.103483732,0.842398758,-104.8654324
-76.756472,17.946139,0.00124,14/09/2017,True,15/09/2017,-19.60295757,-23.61002567,0.830281078,4.007068097,-43.21298324,0.38181975875,29.99606425,-1.0,-1.84e-16,4.0,17.946139,1.0,-588.0115747,-708.2078468,899.7638704,4.007068097,1.204411405,120.1962721
-76.820278,17.949806,0.00122,14/09/2017,True,15/09/2017,-20.61026046,-27.78799378,0.741696598,7.177733317,-48.39825424,0.7385103000000001,31.3106419,-1.0,-1.84e-16,4.0,17.949806,1.0,-645.3204848,-870.0599223,980.356296,7.177733317,1.348260194,224.7394375
10.253245,33.770319,0.001200034,25/04/2019,True,24/04/2019,-11.78843789,-17.79079892,0.662614306,6.002361035,-29.57923681,2.1496193666666668,19.80999947,0.866025404,-0.5,2.0,33.770319,2.0,-233.5289482,-352.4357171,392.4360788,6.002361035,1.509173573,118.9067689
-76.82475,17.94925,0.00119,02/11/2017,True,02/11/2017,-16.4459175,-24.60039585,0.668522474,8.154478344,-41.04631335,0.7352093783333333,29.905072,-0.5,0.866025404,4.0,17.94925,1.0,-491.8163472,-735.6766092,894.3133316,8.154478344,1.495836024,243.860262
26.3,37.5,0.001176667,16/06/2015,True,16/06/2015,-23.71448956,-22.92060353,1.034636349,-0.793886034,-46.63509309,0.130171385375,22.13441882,1.22e-16,-1.0,3.0,37.5,2.0,-524.9064441,-507.3342381,489.9324965,-0.793886034,0.966523166,-17.57220597
29.562,36.023,0.001173333,22/03/2019,True,22/03/2019,-24.37190434,-36.10843403,0.674964312,11.73652969,-60.48033837,0.2079280277777777,17.93643725,1.0,6.12e-17,2.0,36.023,2.0,-437.1451328,-647.6566612,321.7157812,11.73652969,1.481559813,210.5115284
-76.8185,17.94475,0.0011,16/11/2017,True,14/11/2017,-20.59882726,-46.31475384,0.444757352,25.71592658,-66.9135811,0.5644297933333333,28.29340586,-0.5,0.866025404,4.0,17.94475,1.0,-582.81098,-1310.402128,800.5168154,25.71592658,2.248417021,727.5911478
2.80062,36.760775,0.001096444,29/11/2018,True,28/11/2018,-21.99661561,-47.88066948,0.45940493,25.88405387,-69.87728508,0.64927406,17.60241921,-0.5,0.866025404,4.0,36.760775,2.0,-387.1936492,-842.8156163,309.8451621,25.88405387,2.176728927,455.6219671
10.052079,34.001787,0.001085913,07/11/2019,True,08/11/2019,-26.61645271,-46.90136836,0.567498426,20.28491565,-73.51782108,4.540226542857143,22.54006638,-0.5,0.866025404,4.0,34.001787,2.0,-599.9366109,-1057.159956,508.0545924,20.28491565,1.762119426,457.2233454
27.731667,42.589167,0.001051344,08/08/2017,True,05/08/2017,-21.06766666,-30.70058014,0.686230246,9.632913478,-51.76824679,0.7478258663636365,25.74499893,-0.866025404,-0.5,3.0,42.589167,2.0,-542.3870556,-790.3864028,662.80497,9.632913478,1.457236847,247.9993472
9.315583,44.28415,0.00102435,13/06/2019,True,10/06/2019,-19.19703548,-42.00604084,0.457006542,22.80900536,-61.20307631,0.17656865,22.33528974,1.22e-16,-1.0,3.0,44.28415,2.0,-428.7713496,-938.2170931,498.8651679,22.80900536,2.188152483,509.4457436
-153.4928,22.9623,0.001022849,10/01/2019,True,07/01/2019,-25.72310551,-42.49365316,0.605339941,16.77054765,-68.21675867,0.103663335375,24.62060175,0.5,0.866025404,1.0,22.9623,1.0,-633.3183366,-1046.219311,606.1740306,16.77054765,1.651964345,412.9009747
-153.4881,22.9769,0.001015313,10/01/2019,True,07/01/2019,-30.63475665,-36.28760569,0.844220942,5.652849039,-66.92236235,0.1036744026666666,24.63004579,0.5,0.866025404,1.0,22.9769,1.0,-754.5354593,-893.76539,606.6391558,5.652849039,1.184524039,139.2299307
3.293333,42.366667,0.001004,05/06/2015,True,05/06/2015,-24.34456949,-25.35341588,0.96020866,1.008846393,-49.69798537,0.3589047215384615,18.01359704,1.22e-16,-1.0,3.0,42.366667,2.0,-438.5332648,-456.7062172,324.4896782,1.008846393,1.041440305,18.17295239
2.788723,36.716517,0.001003069,29/11/2018,True,28/11/2018,-18.55252397,-27.67897126,0.670275055,9.126447288,-46.23149523,0.6978356633333334,17.56304719,-0.5,0.866025404,4.0,36.716517,2.0,-325.8388539,-486.1270783,308.4606266,9.126447288,1.491924835,160.2882244
2.788723,36.716517,0.001003069,26/04/2018,True,26/04/2018,-20.71240025,-25.6939534,0.806119631,4.981553158,-46.40635365,0.5813463975000001,16.96942839,0.866025404,-0.5,2.0,36.716517,2.0,-351.4775928,-436.0117023,287.9614999,4.981553158,1.240510665,84.53410959
1.297222,41.119167,0.001,09/10/2018,True,10/10/2018,-20.11594484,-31.72177746,0.634136749,11.60583261,-51.8377223,0.1645867942857143,22.58829793,-0.866025404,0.5,4.0,41.119167,2.0,-454.3849552,-716.5409599,510.2312032,11.60583261,1.57694693,262.1560047
9.047283,44.34405,0.0009891,14/06/2019,True,11/06/2019,-21.80659114,-36.44065893,0.598413744,14.63406779,-58.24725008,0.17332320875,21.79062694,1.22e-16,-1.0,3.0,44.34405,2.0,-475.1792925,-794.0648044,474.8314226,14.63406779,1.671084613,318.8855119
10.270481,33.786893,0.000988857,25/04/2019,True,24/04/2019,-18.66964703,-27.05576562,0.690043198,8.386118592,-45.72541265,1.8885083333333328,19.77198777,0.866025404,-0.5,2.0,33.786893,2.0,-369.1360327,-534.9462669,390.9315004,8.386118592,1.449184635,165.8102342
25.362,36.957,0.000978571,27/07/2017,True,29/07/2017,-26.72481996,-47.81663571,0.558902139,21.09181575,-74.54145567,0.151697402,22.98362964,-0.5,-0.866025404,3.0,36.957,2.0,-614.2333641,-1098.999846,528.2472313,21.09181575,1.789221996,484.7664815
-76.83517,17.94878,0.00094,16/11/2017,True,14/11/2017,-19.08194645,-25.68779085,0.742841086,6.605844398,-44.76973731,0.5644297933333333,28.29500008,-0.5,0.866025404,4.0,17.94878,1.0,-539.9236764,-726.8360441,800.6070293,6.605844398,1.346182944,186.9123677
2.788723,36.716517,0.000918063,28/01/2018,True,26/01/2018,-18.23533027,-24.75976935,0.736490313,6.524439076,-42.99509962,1.305698075,14.53180931,0.5,0.866025404,1.0,36.716517,2.0,-264.9923423,-359.8042468,211.1734819,6.524439076,1.357791111,94.81190452
20.177,39.465,0.00091,27/04/2015,True,27/04/2015,-14.47908881,-22.13404112,0.654154781,7.654952308,-36.61312993,0.2778098,17.86471246,0.866025404,-0.5,2.0,39.465,2.0,-258.6647584,-395.4182803,319.1479514,7.654952308,1.528690196,136.7535219
26.212,35.742,0.0009,20/03/2019,True,21/03/2019,-21.40386999,-27.5454786,0.777037506,6.141608602,-48.94934859,0.183258728125,17.4879346,1.0,6.12e-17,2.0,35.742,2.0,-374.3094786,-481.7135282,305.8278565,6.141608602,1.286939166,107.4040496
9.750217,43.978933,0.000896025,13/06/2019,True,11/06/2019,-21.1837487,-33.78770884,0.626966119,12.60396014,-54.97145754,0.2602152708333333,18.05999947,1.22e-16,-1.0,3.0,43.978933,2.0,-382.5784902,-610.2060036,326.1635807,12.60396014,1.594982518,227.6275135
9.68065,44.113,0.000876588,13/06/2019,True,11/06/2019,-27.17539816,-33.56609173,0.809608648,6.390693568,-60.74148988,0.382725054,19.94499969,1.22e-16,-1.0,3.0,44.113,2.0,-542.013308,-669.4756892,397.8030128,6.390693568,1.235164671,127.4623813
-27.745187,35.6619,0.000870983,06/11/2020,True,03/11/2020,-21.25994531,-34.1009671,0.623441126,12.84102179,-55.36091242,0.1058386705,21.45341422,-0.5,0.866025404,4.0,35.6619,2.0,-456.0984131,-731.5821726,460.2489817,12.84102179,1.604000697,275.4837595
23.701,37.787,0.00084,11/11/2015,True,12/11/2015,-20.50440024,-40.94130241,0.500824327,20.43690217,-61.44570265,0.3766638714285714,20.91799119,-0.5,0.866025404,4.0,37.787,2.0,-428.9108635,-856.409803,437.5623553,20.43690217,1.996708118,427.4989395
2.820132,36.773149,0.000805757,29/11/2018,True,28/11/2018,-18.1236447,-26.12278404,0.693786875,7.999139347,-44.24642874,0.64927406,17.60167985,-0.5,0.866025404,4.0,36.773149,2.0,-319.0065917,-459.8048815,309.8191335,7.999139347,1.441364829,140.7982899
1.330278,41.119444,0.0008,09/10/2018,True,10/10/2018,-21.49501888,-41.97917902,0.512040001,20.48416014,-63.4741979,0.1643996425,22.48739424,-0.866025404,0.5,4.0,41.119444,2.0,-483.3669636,-944.0023483,505.6828996,20.48416014,1.952972419,460.6353847
2.820132,36.773149,0.000798811,28/01/2018,True,26/01/2018,-18.07380878,-28.76554804,0.628314425,10.69173926,-46.83935682,1.1704389957142856,14.8254304,0.5,0.866025404,1.0,36.773149,2.0,-267.9519941,-426.4616304,219.7933865,10.69173926,1.591559831,158.5096363
2.773019,36.731746,0.000757046,28/01/2018,True,26/01/2018,-20.84994059,-32.71595899,0.637301832,11.8660184,-53.56589958,1.2997268571428573,14.58004131,0.5,0.866025404,1.0,36.731746,2.0,-303.992995,-477.0000335,212.5776045,11.8660184,1.569115214,173.0070384
25.2,36.278,0.000742857,26/07/2017,True,23/07/2017,-16.16451099,-26.34082703,0.613667558,10.17631604,-42.50533802,0.1039269445555555,24.3462594,-0.5,-0.866025404,3.0,36.278,2.0,-393.5453776,-641.3006078,592.7403468,10.17631604,1.629546792,247.7552302
9.582533,42.045183,0.0007346,05/06/2019,True,05/06/2019,-20.90095959,-33.71385483,0.61995164,12.81289524,-54.61481442,0.1505636,21.18942668,1.22e-16,-1.0,3.0,42.045183,2.0,-442.8793509,-714.3772552,448.9918032,12.81289524,1.613029042,271.4979043
10.128889,33.919014,0.000724807,07/11/2019,True,08/11/2019,-24.86335556,-35.4358037,0.70164503,10.57244814,-60.29915925,9.044133372727272,22.54794461,-0.5,0.866025404,4.0,33.919014,2.0,-560.6175639,-799.004539,508.4098062,10.57244814,1.425222095,238.3869751
2.795861,36.728415,0.000724014,29/11/2018,True,28/11/2018,-17.86467817,-31.58656383,0.565578398,13.72188566,-49.45124199,0.6978356633333334,17.54544629,-0.5,0.866025404,4.0,36.728415,2.0,-313.4437512,-554.200359,307.8426854,13.72188566,1.768101476,240.7566078
-76.81881,17.94839,0.00072,02/11/2017,True,02/11/2017,-17.99101319,-26.19532482,0.686802447,8.204311625,-44.18633801,0.7352093783333333,29.89887461,-0.5,0.866025404,4.0,17.94839,1.0,-537.9110474,-783.2107319,893.9427028,8.204311625,1.456022768,245.2996845
8.469206,44.240431,0.000709184,11/09/2018,True,08/09/2018,-22.40099524,-35.67478042,0.627922442,13.27378517,-58.07577566,0.1423576814285714,25.98999977,-1.0,-1.84e-16,4.0,44.240431,2.0,-582.2018613,-927.1875349,675.4800881,13.27378517,1.592553368,344.9856736
2.80062,36.760775,0.000704857,28/01/2018,True,26/01/2018,-16.56186306,-28.25422364,0.586173001,11.69236059,-44.8160867,1.1704389957142856,14.2815671,0.5,0.866025404,1.0,36.760775,2.0,-236.5293586,-403.5145909,203.9631589,11.69236059,1.705980997,166.9852323
21.665,36.683,0.000685714,22/07/2017,True,21/07/2017,-18.64690068,-30.84014356,0.6046308,12.19324288,-49.48704423,0.0773465508181818,27.14596202,-0.5,-0.866025404,3.0,36.683,2.0,-506.1880576,-837.1853658,736.9032543,12.19324288,1.653901852,330.9973082
